carpeta,archivo,satt_true,satt_est,bias,mse,ci_95,ci_ancho,cobertura_ic,modelo_elegido,params_rf,params_gp,tiempo_seg
4,zymu_170631117.csv,3.875162619918,3.863962762582552,-0.0111998573354479,0.0001254368043343,[3.73579741 4.0055257 ],0.2697282907722673,True,RandomForest,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",97.30741143226624
4,zymu_170630920.csv,4.696643762610976,4.732292121828895,0.0356483592179186,0.0012708055149297,[4.50419979 4.96155841],0.4573586264609437,True,GaussianProcess,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",226.94962882995603
4,zymu_170631164.csv,3.02789685498223,3.3826209514073176,0.3547240964250875,0.1258291845845947,[3.20954831 3.54439573],0.3348474168664013,False,RandomForest,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",79.58531522750854
4,zymu_170630955.csv,4.590083341313592,4.609030433890425,0.0189470925768331,0.000358992317115,[4.12443682 4.9816074 ],0.8571705757929404,True,RandomForest,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",84.96710014343262
4,zymu_170630850.csv,2.618924725217546,2.522240931904913,-0.0966837933126329,0.0093477558893199,[2.29811808 2.76430907],0.4661909870812515,True,RandomForest,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",80.88566398620605
4,zymu_170630855.csv,3.073415027665799,3.2074659274201425,0.1340508997543432,0.0179696437249489,[3.00226009 3.39286395],0.3906038613368232,True,RandomForest,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",76.68836736679077
4,zymu_170630995.csv,3.563250178343871,3.578123315933126,0.0148731375892552,0.0002212102217489,[3.39861735 3.77863426],0.3800169037757115,True,RandomForest,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",77.97438263893127
4,zymu_170630953.csv,5.228048441217744,5.412949221760791,0.1849007805430469,0.034188298645428,[5.19016445 5.62056698],0.4304025295018485,True,RandomForest,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",83.41455054283142
4,zymu_170631038.csv,3.4910527944610545,3.434307389787926,-0.0567454046731286,0.0032200409515171,[3.19673297 3.68376622],0.4870332462001148,True,RandomForest,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",97.573748588562
4,zymu_170631108.csv,3.178145543586348,3.423762238094847,0.2456166945084987,0.0603275606212812,[3.24969819 3.62904269],0.3793444988234533,False,RandomForest,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",76.70339059829712
4,zymu_170630986.csv,2.604632003800793,2.712471055512028,0.1078390517112337,0.0116292610739781,[2.41550205 3.06349568],0.6479936281953003,True,RandomForest,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",99.99478197097778
